,US Dollar,1.00 USD,inv. 1.00 USD
0,Argentine Peso,136.948981,0.0073019999999999995
1,Australian Dollar,1.44414,0.692454
2,Bahraini Dinar,0.376,2.659574
3,Botswana Pula,12.796614,0.07814600000000001
4,Brazilian Real,5.105236,0.195877
5,Bruneian Dollar,1.393575,0.717579
6,Bulgarian Lev,1.9659200000000001,0.508668
7,Canadian Dollar,1.296473,0.771323
8,Chilean Peso,916.7761849999999,0.001091
9,Chinese Yuan Renminbi,6.864064999999999,0.14568599999999998
10,Colombian Peso,4361.7593640000005,0.000229
11,Croatian Kuna,7.551763,0.132419
12,Czech Koruna,24.77161,0.040369
13,Danish Krone,7.477200999999999,0.13374
14,Euro,1.005159,0.994868
15,Hong Kong Dollar,7.8459460000000005,0.12745399999999998
16,Hungarian Forint,413.69781,0.0024170000000000003
17,Icelandic Krona,140.65736299999998,0.007109000000000001
18,Indian Rupee,79.775284,0.012535
19,Indonesian Rupiah,14841.340814,6.7e-05
20,Iranian Rial,42147.238333999994,2.4e-05
21,Israeli Shekel,3.2783559999999996,0.305031
22,Japanese Yen,136.496525,0.007326000000000001
23,Kazakhstani Tenge,463.78358399999996,0.002156
24,South Korean Won,1342.683836,0.000745
25,Kuwaiti Dinar,0.307642,3.2505290000000002
26,Libyan Dinar,4.9025099999999995,0.203977
27,Malaysian Ringgit,4.485709,0.22293000000000002
28,Mauritian Rupee,44.112706,0.022668999999999998
29,Mexican Peso,19.955548999999998,0.050111
30,Nepalese Rupee,127.700286,0.007831
31,New Zealand Dollar,1.612723,0.620069
32,Norwegian Krone,9.702668,0.10306400000000002
33,Omani Rial,0.384498,2.600791
34,Pakistani Rupee,218.715077,0.004572
35,Philippine Peso,56.056338000000004,0.017838999999999997
36,Polish Zloty,4.801791000000001,0.208256
37,Qatari Riyal,3.64,0.274725
38,Romanian New Leu,4.907642,0.203764
39,Russian Ruble,60.141763,0.016627
40,Saudi Arabian Riyal,3.75,0.266667
41,Singapore Dollar,1.393575,0.717579
42,South African Rand,17.049733,0.058651999999999996
43,Sri Lankan Rupee,360.043158,0.002777
44,Swedish Krona,10.649391,0.093902
45,Swiss Franc,0.962457,1.039008
46,Taiwan New Dollar,30.274828999999997,0.033031
47,Thai Baht,36.031065999999996,0.027754
48,Trinidadian Dollar,6.776436,0.14757
49,Turkish Lira,18.138253,0.05513200000000001
50,Emirati Dirham,3.6725,0.272294
51,British Pound,0.845657,1.182513
52,Venezuelan Bolivar,625358.827039,2e-06
